text,letterColor,correctAnswer,congruent,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instr1.started,instr1.stopped,word.started,word.stopped,resp.keys,resp.corr,resp.rt,resp.started,resp.stopped,fixation.started,fixation.stopped,feedback_2.started,feedback_2.stopped,sound_1.started,sound_1.stopped,instrText.started,instrText.stopped,feedback_3.started,feedback_3.stopped,sound_2.started,sound_2.stopped,thanksText.started,thanksText.stopped,participant,session,posture,date,expName,psychopyVersion,frameRate,
green,red,z,incongruent,,,,,0,0,0,0,0,31,31,6,,,188.7413239479065,None,z,1,0.481295108795166,188.7413239479065,None,188.25535607337952,188.8035569190979,,,,,,,189.31858897209167,None,189.30078961849213,None,,,0001,01,standing,2021_Aug_09_1506,stroop,2021.2.0,59.92513472891343,
green,red,z,incongruent,,,,,0,0,0,0,0,32,32,4,,,191.33718490600586,None,z,1,0.3493030071258545,191.33718490600586,None,190.85551285743713,191.39634704589844,,,,,,,191.75069093704224,None,191.73903753757477,192.26252603530884,,,0001,01,standing,2021_Aug_09_1506,stroop,2021.2.0,59.92513472891343,
green,green,m,congruent,,,,,0,0,0,0,0,33,33,21,,,193.77428698539734,None,m,1,0.40854692459106445,193.77428698539734,None,193.28197383880615,193.8368809223175,,,,,,,194.26170086860657,None,194.24426057338715,None,,,0001,01,standing,2021_Aug_09_1506,stroop,2021.2.0,59.92513472891343,
red,green,m,incongruent,,,,,0,0,0,0,0,34,34,5,,,196.30335783958435,None,m,1,0.4073011875152588,196.30335783958435,None,195.81314897537231,196.36251401901245,,,,,,,196.78467893600464,None,196.76652672290803,None,,,0001,01,standing,2021_Aug_09_1506,stroop,2021.2.0,59.92513472891343,
XXX,green,m,neutral,,,,,0,0,0,0,0,35,35,25,,,198.8256540298462,None,m,1,0.31702303886413574,198.8256540298462,None,198.3333010673523,198.88800191879272,,,,,,,199.22373485565186,None,199.2061045408249,None,,,0001,01,standing,2021_Aug_09_1506,stroop,2021.2.0,59.92513472891343,
,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0001,01,standing,2021_Aug_09_1506,stroop,2021.2.0,59.92513472891343,
green,green,m,congruent,,,,,1,0,1,0,0,0,0,23,,,204.0822069644928,None,m,1,0.532243013381958,204.0822069644928,None,203.60939502716064,204.14141607284546,,,,,200.8414340019226,None,204.69839191436768,None,204.6862936258316,205.2121798992157,,,0001,01,standing,2021_Aug_09_1506,stroop,2021.2.0,59.92513472891343,
green,red,z,incongruent,,,,,1,0,1,0,0,1,1,18,,,206.7230989933014,None,m,0,0.2917439937591553,206.7230989933014,None,206.23111605644226,206.78530502319336,,,,,,,207.0755259990692,None,207.05773856639863,None,,,0001,01,standing,2021_Aug_09_1506,stroop,2021.2.0,59.92513472891343,
red,green,m,incongruent,,,,,1,0,1,0,0,2,2,5,,,209.10776591300964,None,m,1,0.4349079132080078,209.10776591300964,None,208.62268590927124,209.16788506507874,,,,,,,209.61427307128906,None,209.6012096643448,None,,,0001,01,standing,2021_Aug_09_1506,stroop,2021.2.0,59.92513472891343,
green,green,m,congruent,,,,,1,0,1,0,0,3,3,33,,,211.63757801055908,None,z,0,0.2729620933532715,211.63757801055908,None,211.14955496788025,211.69732403755188,,,,,,,211.97235584259033,None,211.95947172641755,None,,,0001,01,standing,2021_Aug_09_1506,stroop,2021.2.0,59.92513472891343,
XXX,green,m,neutral,,,,,1,0,1,0,0,4,4,13,,,214.00949096679688,None,m,1,0.413118839263916,214.00949096679688,None,213.5263969898224,214.07175302505493,,,,,,,214.49720287322998,None,214.47922971248627,None,,,0001,01,standing,2021_Aug_09_1506,stroop,2021.2.0,59.92513472891343,
green,green,m,congruent,,,,,1,0,1,0,0,5,5,35,,,216.51973605155945,None,m,1,0.36714792251586914,216.51973605155945,None,216.04652285575867,216.57897305488586,,,,,,,216.9481270313263,None,216.9299836397171,None,,,0001,01,standing,2021_Aug_09_1506,stroop,2021.2.0,59.92513472891343,
green,red,z,incongruent,,,,,1,0,1,0,0,6,6,30,,,218.97235107421875,None,z,1,0.2825779914855957,218.97235107421875,None,218.48821806907654,219.0329520702362,,,,,,,219.32392597198486,None,219.30632951259614,219.82376384735107,,,0001,01,standing,2021_Aug_09_1506,stroop,2021.2.0,59.92513472891343,
